arm,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,seed,selection,train_tokens,unique_content_tokens,validation_loss
uniform,240,2.518239,2.892328,2.640351,2.925955,11,grid,20000,20000,2.691672
observed,240,2.475062,2.799906,2.702219,3.075062,11,grid,20000,20000,2.665081
code_heavy,240,2.392116,3.117196,2.710525,3.064958,11,grid,20000,20000,2.73557
proxy_selected_observed,240,2.475062,2.799906,2.702219,3.075062,11,proxy,20000,20000,2.665081
uniform,240,2.62678,2.671095,2.625646,2.86752,23,grid,20000,20000,2.646053
observed,240,2.675071,2.734917,2.537589,2.890977,23,grid,20000,20000,2.627817
code_heavy,240,2.365067,2.846919,2.969107,3.009263,23,grid,20000,20000,2.804574
proxy_selected_uniform,240,2.62678,2.671095,2.625646,2.86752,23,proxy,20000,20000,2.646053
uniform,240,2.640788,2.823324,2.532286,2.81611,37,grid,20000,20000,2.636976
observed,240,2.759149,2.675897,2.503896,2.957952,37,grid,20000,20000,2.662342
code_heavy,240,2.268654,3.069637,3.104366,3.296828,37,grid,20000,20000,2.87209
proxy_selected_observed,240,2.759149,2.675897,2.503896,2.957952,37,proxy,20000,20000,2.662342
