arm,fitted_log_slope,fitted_unique_log_slope,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,removed_docs,seed,total_tokens,train_tokens,unique_content_tokens,validation_loss
tokens_20000,-0.07085,-0.088454,214,3.043426,2.578832,2.466722,2.964092,26,11,20000,20000,20000,2.765807
tokens_50000,-0.07085,-0.088454,214,2.600929,2.416737,2.360709,2.813667,26,11,50000,50000,50000,2.508938
tokens_100000,-0.07085,-0.088454,214,2.401549,2.381082,2.316726,2.70796,26,11,100000,100000,100000,2.403721
tokens_200000,-0.07085,-0.088454,214,2.334561,2.339145,2.275829,2.661389,26,11,200000,200000,117773,2.351865
tokens_20000,-0.053892,-0.068523,208,2.927551,2.553804,2.551126,2.85231,32,23,20000,20000,20000,2.631058
tokens_50000,-0.053892,-0.068523,208,2.643006,2.420968,2.36872,2.696627,32,23,50000,50000,50000,2.451014
tokens_100000,-0.053892,-0.068523,208,2.420046,2.385099,2.306068,2.695545,32,23,100000,100000,100000,2.37374
tokens_200000,-0.053892,-0.068523,208,2.369391,2.317431,2.274324,2.653688,32,23,200000,200000,108147,2.324562
tokens_20000,-0.05492,-0.070958,199,2.700486,2.661277,2.559622,2.926997,41,37,20000,20000,20000,2.661204
tokens_50000,-0.05492,-0.070958,199,2.560299,2.477138,2.378735,2.679003,41,37,50000,50000,50000,2.481465
tokens_100000,-0.05492,-0.070958,199,2.433534,2.424135,2.302057,2.586102,41,37,100000,100000,100000,2.396014
tokens_200000,-0.05492,-0.070958,199,2.380095,2.378616,2.254793,2.535954,41,37,200000,200000,102044,2.347161
