arm,fitted_log_slope,fitted_unique_log_slope,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,removed_docs,seed,total_tokens,train_tokens,unique_content_tokens,validation_loss
tokens_20000,-0.068785,-0.09431,175,3.043426,2.578832,2.466722,2.964092,20,11,20000,20000,20000,2.765807
tokens_50000,-0.068785,-0.09431,175,2.600929,2.416737,2.360709,2.813667,20,11,50000,50000,50000,2.508938
tokens_100000,-0.068785,-0.09431,175,2.434233,2.37203,2.299671,2.746106,20,11,100000,100000,94475,2.412528
tokens_200000,-0.068785,-0.09431,175,2.37854,2.323044,2.260242,2.681534,20,11,200000,200000,94475,2.361599
tokens_20000,-0.053888,-0.074772,175,2.927551,2.553804,2.551126,2.85231,20,23,20000,20000,20000,2.631058
tokens_50000,-0.053888,-0.074772,175,2.64308,2.408644,2.379197,2.694411,20,23,50000,50000,50000,2.450296
tokens_100000,-0.053888,-0.074772,175,2.440073,2.351249,2.324419,2.706927,20,23,100000,100000,91221,2.372014
tokens_200000,-0.053888,-0.074772,175,2.378504,2.299118,2.289407,2.655467,20,23,200000,200000,91221,2.325027
tokens_20000,-0.053784,-0.080453,163,2.700486,2.661277,2.559622,2.926997,32,37,20000,20000,20000,2.661204
tokens_50000,-0.053784,-0.080453,163,2.560299,2.477138,2.378735,2.679003,32,37,50000,50000,50000,2.481465
tokens_100000,-0.053784,-0.080453,163,2.442187,2.394126,2.316236,2.620028,32,37,100000,100000,81647,2.401019
tokens_200000,-0.053784,-0.080453,163,2.393673,2.344139,2.267708,2.574157,32,37,200000,200000,81647,2.352437
